section,key,value
recommended_team,member,Lapras Psy+IB/SpA 0/10/14
recommended_team,member,Mandibuzz Sn+SB/FoP 0/13/15
recommended_team,member,Carbink RTh+M/RS 5/15/15
recommended_team,member,Toxapex PJ+SW/Bri 0/15/15
recommended_team,member,Dewgong IS+IW/DR 0/12/15
recommended_team,member,Jumpluff (Shadow) FW+Acr/EB 2/13/14
recommended_team,bulk_score,326.68
recommended_team,bulk_pool_min_mean_max,96.36/210.97/411.00
recommended_team,consistency,score=779.40;mean=722.48;dominate=107/141;overwhelming=0/141
recommended_team,redundancy,2plus=119/141;3plus=98/141;single=20/141;none=2/141
recommended_lineup,#1,"lead=Lapras Psy+IB/SpA 0/10/14;backs=Carbink RTh+M/RS 5/15/15, Jumpluff (Shadow) FW+Acr/EB 2/13/14;shape=ABC;score=702.14;mean=675.87;dominating=105;overwhelming=0"
recommended_lineup_resource_path,#1 balanced,lead_shield=1;back_shield=1;mean_best_score=660.32;dominating=34;overwhelming=0
recommended_lineup_resource_path,#1 shield_spend,lead_shield=2;back_shield=0;mean_best_score=690.94;dominating=38;overwhelming=0
recommended_lineup_resource_path,#1 shield_save,lead_shield=0;back_shield=2;mean_best_score=676.34;dominating=33;overwhelming=0
recommended_lineup,#2,"lead=Carbink RTh+M/RS 5/15/15;backs=Lapras Psy+IB/SpA 0/10/14, Mandibuzz Sn+SB/FoP 0/13/15;shape=ABC;score=701.94;mean=675.50;dominating=110;overwhelming=1"
recommended_lineup_resource_path,#2 balanced,lead_shield=1;back_shield=1;mean_best_score=658.70;dominating=35;overwhelming=0
recommended_lineup_resource_path,#2 shield_spend,lead_shield=2;back_shield=0;mean_best_score=676.45;dominating=35;overwhelming=0
recommended_lineup_resource_path,#2 shield_save,lead_shield=0;back_shield=2;mean_best_score=691.34;dominating=40;overwhelming=1
recommended_lineup,#3,"lead=Mandibuzz Sn+SB/FoP 0/13/15;backs=Carbink RTh+M/RS 5/15/15, Lapras Psy+IB/SpA 0/10/14;shape=ABC;score=701.72;mean=675.86;dominating=109;overwhelming=0"
recommended_lineup_resource_path,#3 balanced,lead_shield=1;back_shield=1;mean_best_score=658.70;dominating=35;overwhelming=0
recommended_lineup_resource_path,#3 shield_spend,lead_shield=2;back_shield=0;mean_best_score=689.45;dominating=38;overwhelming=0
recommended_lineup_resource_path,#3 shield_save,lead_shield=0;back_shield=2;mean_best_score=679.43;dominating=36;overwhelming=0
recommended_lineup,#4,"lead=Lapras Psy+IB/SpA 0/10/14;backs=Carbink RTh+M/RS 5/15/15, Mandibuzz Sn+SB/FoP 0/13/15;shape=ABC;score=701.72;mean=676.02;dominating=109;overwhelming=0"
