section,key,value
recommended_team,member,Gholdengo A+SB/FB 15/15/15
recommended_team,member,Lugia DT+A/Fl 15/15/15
recommended_team,member,Yveltal SkP+DP/ObW 15/15/15
recommended_team,member,Kyogre W+Av/OP 15/15/15
recommended_team,member,Tyranitar DB+BrS/SE 15/15/15
recommended_team,member,Zacian (Hero) Sn+WC/CC 15/15/15
recommended_team,bulk_score,208.14
recommended_team,bulk_pool_min_mean_max,152.30/191.40/377.46
recommended_team,consistency,score=768.61;mean=708.31;dominate=41/51;overwhelming=0/51
recommended_team,redundancy,2plus=47/51;3plus=40/51;single=3/51;none=1/51
coverage,0-shield,17/0/0
coverage,1-shield,16/0/1
coverage,2-shield,17/0/0
safe_core,#1 ABB,lead=Lugia DT+A/Fl 15/15/15;switch=Tyranitar DB+BrS/SE 15/15/15;closer=Gholdengo A+SB/FB 15/15/15
safe_core,#2 ABB,lead=Lugia DT+A/Fl 15/15/15;switch=Zacian (Hero) Sn+WC/CC 15/15/15;closer=Tyranitar DB+BrS/SE 15/15/15
safe_core,#3 ABB,lead=Kyogre W+Av/OP 15/15/15;switch=Lugia DT+A/Fl 15/15/15;closer=Gholdengo A+SB/FB 15/15/15
safe_core,#4 ABB,lead=Kyogre W+Av/OP 15/15/15;switch=Zacian (Hero) Sn+WC/CC 15/15/15;closer=Lugia DT+A/Fl 15/15/15
safe_core,#5 ABB,lead=Kyogre W+Av/OP 15/15/15;switch=Zacian (Hero) Sn+WC/CC 15/15/15;closer=Yveltal SkP+DP/ObW 15/15/15
safe_core,#6 ABB,lead=Lugia DT+A/Fl 15/15/15;switch=Zacian (Hero) Sn+WC/CC 15/15/15;closer=Gholdengo A+SB/FB 15/15/15
safe_core,#7 ABB,lead=Kyogre W+Av/OP 15/15/15;switch=Lugia DT+A/Fl 15/15/15;closer=Tyranitar DB+BrS/SE 15/15/15
safe_core,#8 ABB,lead=Lugia DT+A/Fl 15/15/15;switch=Tyranitar DB+BrS/SE 15/15/15;closer=Yveltal SkP+DP/ObW 15/15/15
safe_core,#9 ABB,lead=Lugia DT+A/Fl 15/15/15;switch=Yveltal SkP+DP/ObW 15/15/15;closer=Gholdengo A+SB/FB 15/15/15
safe_core,#10 ABB,lead=Lugia DT+A/Fl 15/15/15;switch=Zacian (Hero) Sn+WC/CC 15/15/15;closer=Yveltal SkP+DP/ObW 15/15/15
threat,Florges FW+TBl/CW 15/15/15,single=1;none=1;details=0-shield only Gholdengo A+SB/FB 15/15/15 | 1-shield no cover
threat,Dialga (Origin) DB+ROT/IH 15/15/15,single=2;none=0;details=0-shield only Tyranitar DB+BrS/SE 15/15/15 | 1-shield only Zacian (Hero) Sn+WC/CC 15/15/15
