section,key,value
recommended_team,member,Galvantula FC+D/Lu 4/15/9
recommended_team,member,Haunter SC+ShP/IP 5/14/15
recommended_team,member,Electrode VS+Tb/FoP 4/9/15
recommended_team,member,Emolga TS+Acr/D 4/13/13
recommended_team,member,Dartrix Pk+BrB/SeB 4/11/14
recommended_team,member,Grimer MSl+Sl/MB 9/15/15
recommended_team,bulk_score,125.34
recommended_team,bulk_pool_min_mean_max,61.42/127.03/182.07
recommended_team,consistency,score=778.50;mean=716.00;dominate=20/24;overwhelming=0/24
recommended_team,redundancy,2plus=23/24;3plus=14/24;single=1/24;none=0/24
coverage,0-shield,8/0/0
coverage,1-shield,8/0/0
coverage,2-shield,8/0/0
safe_core,#1 ABC,lead=Emolga TS+Acr/D 4/13/13;switch=Dartrix Pk+BrB/SeB 4/11/14;closer=Grimer MSl+Sl/MB 9/15/15
safe_core,#2 ABB,lead=Grimer MSl+Sl/MB 9/15/15;switch=Dartrix Pk+BrB/SeB 4/11/14;closer=Galvantula FC+D/Lu 4/15/9
safe_core,#3 ABA,lead=Electrode VS+Tb/FoP 4/9/15;switch=Dartrix Pk+BrB/SeB 4/11/14;closer=Grimer MSl+Sl/MB 9/15/15
safe_core,#4 ABC,lead=Emolga TS+Acr/D 4/13/13;switch=Dartrix Pk+BrB/SeB 4/11/14;closer=Electrode VS+Tb/FoP 4/9/15
safe_core,#5 ABA,lead=Grimer MSl+Sl/MB 9/15/15;switch=Dartrix Pk+BrB/SeB 4/11/14;closer=Haunter SC+ShP/IP 5/14/15
safe_core,#6 ABC,lead=Grimer MSl+Sl/MB 9/15/15;switch=Haunter SC+ShP/IP 5/14/15;closer=Galvantula FC+D/Lu 4/15/9
safe_core,#7 ABB,lead=Emolga TS+Acr/D 4/13/13;switch=Haunter SC+ShP/IP 5/14/15;closer=Grimer MSl+Sl/MB 9/15/15
safe_core,#8 ABC,lead=Emolga TS+Acr/D 4/13/13;switch=Galvantula FC+D/Lu 4/15/9;closer=Grimer MSl+Sl/MB 9/15/15
safe_core,#9 ABA,lead=Electrode VS+Tb/FoP 4/9/15;switch=Emolga TS+Acr/D 4/13/13;closer=Grimer MSl+Sl/MB 9/15/15
safe_core,#10 ABA,lead=Electrode VS+Tb/FoP 4/9/15;switch=Galvantula FC+D/Lu 4/15/9;closer=Grimer MSl+Sl/MB 9/15/15
threat,Weezing (Galarian) FW+Sl/Ov 4/14/13,single=1;none=0;details=0-shield only Grimer MSl+Sl/MB 9/15/15
