Index,Name,Form,Pokemon Number,Gender,CP,HP,Atk IV,Def IV,Sta IV,IV Avg,Level Min,Level Max,Quick Move,Charge Move,Charge Move 2,Scan Date,Original Scan Date,Catch Date,Weight,Height,Lucky,Shadow/Purified,Favorite,Dust,Rank % (G),Rank # (G),Stat Prod (G),Dust Cost (G),Candy Cost (G),Name (G),Form (G),Sha/Pur (G),Rank % (U),Rank # (U),Stat Prod (U),Dust Cost (U),Candy Cost (U),Name (U),Form (U),Sha/Pur (U),Rank % (L),Rank # (L),Stat Prod (L),Dust Cost (L),Candy Cost (L),Name (L),Form (L),Sha/Pur (L),Marked for PvP use
1,Swanna,,581,♀,1500,137,0,12,15,60,27.5,27.5,Gust,Fly,Aqua Jet,2026-06-08 12:50,2024-07-11 10:14,7/9/2024,9.36kg,0.86m,0,0,2,4500,99.98%,2,99.96%,0,0,Swanna,,0,,,,,,,,,,,,,,,,,G
4,Gourgeist,Large,711,♀,1500,124,1,14,15,66.7,22.5,22.5,Incinerate,Shadow Ball,Seed Bomb,2026-06-08 12:49,2026-02-18 23:38,12/29/2025,,,0,0,2,3000,100.00%,1,100%,0,0,Gourgeist,Large,0,,,,,,,,,,,,,,,,,G
6,Forretress,,205,♂,1500,132,0,9,15,53.3,25.5,25.5,Volt Switch,Rock Tomb,Sand Tomb,2026-06-08 12:49,2026-01-20 12:50,1/19/2026,,,0,0,2,4000,100.00%,1,100%,0,0,Forretress,,0,,,,,,,,,,,,,,,,,G
8,Altaria,Normal,334,♀,1500,137,6,14,13,73.3,28,28,Dragon Breath,Flamethrower,Sky Attack,2026-06-08 12:48,2026-02-01 16:48,1/28/2026,,,0,1,2,2640,96.51%,144,97.80%,0,0,Altaria,Normal,1,,,,,,,,,,,,,,,,,G
9,Ludicolo,,272,♀,1500,134,4,15,15,75.6,24,24,Astonish,Energy Ball,Weather Ball,2026-06-08 12:48,2026-02-03 19:57,2/3/2026,76.43kg,1.74m,0,0,2,3500,99.85%,7,99.48%,0,0,Ludicolo,,0,,,,,,,,,,,,,,,,,G
7556,Blastoise,Normal,9,♂,1500,128,0,14,10,53.3,23.5,23.5,Rollout,Hydro Cannon,Skull Bash,2026-02-25 19:53,2025-09-03 18:10,9/3/2025,,,0,0,2,3500,99.95%,3,99.57%,0,0,Blastoise,Normal,0,,,,,,,,,,,,,,,,,G
7560,Corsola,Galar,222,♀,1500,135,11,12,12,77.8,44,44,Astonish,Night Shade,Night Shade,2026-02-24 14:29,2025-06-17 17:24,6/17/2025,0.51kg,0.58m,0,0,2,12000,76.61%,959,95.31%,0,0,Corsola,Galar,0,,,,,,,,,,,,,,,,,G
7561,Kommo-o,,784,♂,1500,106,6,15,15,80,16.5,16.5,Dragon Tail,Clanging Scales,Upper Hand,2026-02-24 14:28,2026-02-18 23:39,6/21/2025,,,0,0,2,1900,99.63%,16,99.14%,0,0,Kommo-o,,0,,,,,,,,,,,,,,,,,G
7562,Regidrago,,895,,1500,234,13,13,14,88.9,18,18,Dragon Breath,Dragon Energy,Vise Grip,2026-02-24 14:28,2025-06-25 21:42,6/24/2025,200.85kg,1.84m,0,0,2,15000,86.59%,550,96.22%,0,0,Regidrago,,0,,,,,,,,,,,,,,,,,G
7564,Zoroark,Hisui,571,♂,1500,97,0,15,11,57.8,21.5,21.5,Shadow Claw,Shadow Ball,Foul Play,2026-02-24 14:28,2026-02-18 23:39,7/11/2025,,,0,0,2,3000,100.00%,1,100%,0,0,Zoroark,Hisui,0,,,,,,,,,,,,,,,,,G
7565,Gogoat,,673,♀,1500,166,1,11,11,51.1,20.5,20.5,Vine Whip,Leaf Blade,Brick Break,2026-02-24 14:28,2025-08-21 9:48,8/14/2025,,,0,0,2,2500,99.02%,41,98.85%,0,0,Gogoat,,0,,,,,,,,,,,,,,,,,G
7566,Murkrow,,198,♀,1500,135,7,11,14,71.1,42,42,Peck,Foul Play,Drill Peck,2026-02-24 14:28,2026-02-18 23:38,8/17/2025,,,0,0,2,11000,90.65%,384,97.35%,0,0,Murkrow,,0,,,,,,,,,,,,,,,,,G
7568,Toucannon,,733,♂,1500,122,4,11,10,55.6,21,21,Peck,Beak Blast,Drill Peck,2026-02-24 14:28,2026-02-18 23:38,9/3/2025,,,0,1,2,3601,98.05%,81,98.28%,0,0,Toucannon,,1,,,,,,,,,,,,,,,,,G
7570,Glalie,Normal,362,♂,1500,140,5,14,15,75.6,26.5,26.5,Powder Snow,Shadow Ball,Avalanche,2026-02-24 14:28,2026-02-18 23:37,8/30/2025,,,0,0,2,4000,97.88%,88,98.50%,0,0,Glalie,Normal,0,,,,,,,,,,,,,,,,,G
7574,Ninetales,Alola,38,♂,1500,126,0,14,12,57.8,25,25,Powder Snow,Chilling Water,Weather Ball,2026-02-24 14:27,2025-12-18 18:33,12/18/2025,,,0,0,2,4000,100.00%,1,100%,0,0,Ninetales,Alola,0,,,,,,,,,,,,,,,,,G
7717,Serperior,,497,♀,1500,132,0,10,15,55.6,25.5,25.5,Vine Whip,Frenzy Plant,Leaf Tornado,2026-02-18 23:43,2026-02-18 23:43,2/1/2025,,,0,0,2,4000,100.00%,1,100%,0,0,Serperior,,0,,,,,,,,,,,,,,,,,G
7718,Feraligatr,,160,♂,1500,119,8,15,4,60,19.5,19.5,Shadow Claw,Ice Beam,Hydro Cannon,2026-02-18 23:43,2026-02-18 23:43,8/24/2024,,,0,1,2,3000,92.21%,320,97.60%,0,0,Feraligatr,,1,,,,,,,,,,,,,,,,,G
7719,Lickilicky,,463,♀,1500,159,0,14,1,33.3,24,24,Rollout,Body Slam,Shadow Ball,2026-02-18 23:43,2026-02-18 23:43,10/12/2024,,,0,0,2,3500,99.54%,20,99.11%,0,0,Lickilicky,,0,,,,,,,,,,,,,,,,,G
