,Abomasnow PS+WBI/EB 0/15/15,Amoonguss A+GK/FoP 0/14/15,Barbaracle FC+CrC/SE 0/10/13,Blastoise RO+HC/SkB 1/15/15,Cofagrigus SC+SB/DP 0/11/14,Dartrix Pk+BrB/SeB 0/15/14,Dewgong IS+IW/DR 0/12/15,Doublade SC+SSw/GB 0/11/14,Drifblim A+IW/SB 0/15/12,Feraligatr SC+HC/IB 0/11/13,Froslass PS+Av/SB 0/15/15,Galvantula VS+D/Lu 0/15/15,Golbat WA+PF/SB 0/15/15,Golbat (Shadow) WA+PF/SB 0/15/15,Golisopod SC+XS/AJ 0/8/15,Gyarados DB+AT/Cr 0/14/15,Lokix SkP+XS/TBl 0/14/14,Marowak (Alolan) FS+BC/SBo 0/14/14,Pelipper WA+WBW/Hu 0/12/15,Runerigus SC+SB/RT 0/11/14,Samurott (Shadow) FC+HC/Mh 0/14/14,Seaking Pk+DR/IW 0/14/14,Sealeo PS+S/BS 0/15/14,Sealeo (Shadow) PS+S/BS 0/15/14,Skuntank PJ+Cr/TBl 0/15/15,Skuntank (Shadow) PJ+Cr/TBl 0/15/15,Slowking (Galarian) Ac+Psh/SB 0/14/13,Swalot MS+Sl/IB 0/14/14,Tentacruel Ac+Sc/Pbk 1/15/15,Trevenant SC+SeB/SB 0/15/15,Weezing RO+SlB/SB 0/14/14,Weezing (Galarian) FW+Sl/BrS 0/14/14,Wins,Losses,Draws,Average
Abomasnow PS+WBI/EB 0/15/15,500,803,243,644,405,748,513,259,789,658,140,424,765,720,270,641,483,200,706,789,335,467,424,627,406,459,364,459,151,810,372,389,13,18,1,498.84
Abomasnow (Shadow) PS+WBI/EB 5/15/14,496,807,158,580,490,713,357,129,744,317,306,786,716,653,310,797,713,98,513,807,364,271,622,548,440,534,400,562,151,776,461,398,16,16,0,500.53
Amoonguss A+FoP/GK 4/13/13,196,575,763,608,830,332,413,716,525,511,367,652,425,258,650,616,334,600,394,830,508,508,605,513,365,293,525,338,627,738,594,575,21,11,0,524.5
Annihilape LK+RF/CC 13/15/6,597,248,917,649,328,264,813,412,299,697,409,384,432,258,297,392,675,307,300,328,507,697,589,727,656,809,321,439,511,368,313,449,13,19,0,481
Annihilape (Shadow) LK+RF/IP 0/7/14,776,297,863,590,378,646,447,472,334,408,477,424,276,319,342,440,625,350,326,364,863,432,500,776,390,786,360,465,333,432,351,292,8,23,1,472.94
Ariados PSt+Lu/TBl 11/14/14,656,565,788,423,391,377,583,236,188,500,303,551,265,312,594,456,704,161,351,306,850,442,576,444,616,569,569,421,337,428,351,518,13,18,1,463.47
Armaldo FC+RB/Li 2/15/14,565,357,495,388,378,464,388,111,334,416,454,691,421,471,778,156,647,314,165,391,734,396,389,488,765,756,442,419,337,424,364,292,7,25,0,443.44
Azumarill B+IB/PR 0/15/15,362,377,566,319,387,480,490,416,525,476,462,242,492,663,525,686,635,563,507,683,594,442,525,375,171,228,346,300,268,458,423,381,11,21,0,448.97
Banette (Shadow) SC+SB/DG 1/15/15,251,221,363,257,364,229,478,467,280,281,647,384,301,322,319,292,141,393,271,382,368,303,235,264,656,600,432,265,713,394,309,207,4,28,0,355.91
Beedrill PSt+XS/DR 1/13/15,791,530,435,334,292,390,397,398,179,416,344,416,244,258,414,344,723,358,309,202,463,310,334,348,549,806,428,670,568,398,423,545,8,24,0,425.5
