,Galvantula VS+D/Lu 4/15/9,Galvantula FC+D/Lu 4/15/9,Girafarig Cf+PsF/TBl 4/12/14,Trevenant SC+SeB/SB 3/13/12,Ludicolo A+WBW/LfS 5/13/15,Weezing (Galarian) FW+Sl/BrS 4/14/13,Weezing (Galarian) FW+Sl/Ov 4/14/13,Haunter SC+ShP/IP 5/14/15,Wins,Losses,Draws,Average
Dartrix Pk+BrB/SeB 4/11/14,629,691,587,740,639,379,267,698,6,2,0,578.75
Haunter SC+ShP/IP 5/14/15,344,702,157,370,212,318,782,500,2,5,1,423.13
Galvantula VS+D/Lu 4/15/9,524,295,469,312,395,553,340,655,3,5,0,442.88
Galvantula FC+D/Lu 4/15/9,704,500,622,606,659,133,133,297,4,3,1,456.75
Electrode VS+Tb/FoP 4/9/15,397,409,438,248,335,456,310,686,1,7,0,409.88
Electrode VS+D/FoP 4/9/15,397,409,438,248,335,656,310,686,2,6,0,434.88
Grimer MSl+Sl/MB 9/15/15,575,413,280,259,212,715,529,787,4,4,0,471.25
Grimer PJ+Sl/MB 9/15/15,450,508,353,534,706,575,523,287,5,3,0,492
Emolga TS+Acr/D 4/13/13,500,536,223,504,632,532,532,356,5,2,1,476.88
