,Gliscor (Shadow) WA+Acr/NS 0/14/15,Gliscor (Shadow) WA+Acr/ST 0/14/15,Gliscor (Shadow) WA+ST/NS 0/14/15,Kingdra DB+Sw/O 0/15/15,Toucannon Pk+BBl/DrlP 2/15/14,Virizion DK+LB/SSw 1/15/12,Cetitan PS+ISp/SP 4/15/15,Blastoise RO+HC/SkB 5/15/15,Blastoise RO+HC/IB 5/15/15,Wins,Losses,Draws,Average
Raikou VS+WC/AuS 5/13/13,496,380,380,546,698,324,257,602,619,4,5,0,478
Raikou TS+WC/AuS 5/13/13,316,477,477,381,672,412,433,844,639,3,6,0,516.78
Raikou TS+SB/AuS 5/13/13,429,429,429,381,807,412,433,509,586,3,6,0,490.56
Kommo-o DT+UH/ClS 4/12/13,377,264,377,323,287,613,609,755,594,4,5,0,466.56
Venusaur (Shadow) VW+Sl/FP 4/14/15,232,248,232,559,337,588,232,820,820,4,5,0,452
Articuno PS+IW/Hu 14/13/14,832,800,835,541,658,721,278,150,159,6,3,0,552.67
Grumpig Psy+SB/DyP 6/14/13,325,345,579,333,325,724,594,600,421,4,5,0,471.78
Kyurem DB+G/DC 5/8/14,684,744,602,525,582,534,333,667,622,8,1,0,588.11
