,Annihilape C+RF/IP 5/14/15,Annihilape C+RF/CC 5/14/15,Annihilape (Shadow) C+RF/IP 5/14/15,Annihilape (Shadow) C+RF/CC 5/14/15,Cobalion DK+SSw/SE 6/15/11,Corviknight SdA+AC/Pbk 4/14/13,Corviknight SdA+IH/Pbk 4/14/13,Drapion PSt+Cr/AT 4/15/15,Drapion PSt+Cr/SlB 4/15/15,Empoleon MSo+HC/DrlP 6/15/14,Empoleon (Shadow) MSo+HC/DrlP 6/15/14,Forretress VS+RT/Eq 13/14/15,Golisopod FC+XS/AJ 5/13/15,Golisopod SC+XS/AJ 5/13/15,Hippowdon SdA+WBR/ScS 4/15/13,Hippowdon TF+WBR/ScS 4/15/13,Hippowdon IF+WBR/ScS 4/15/13,Hippowdon FF+WBR/ScS 4/15/13,Hippowdon (Shadow) SdA+WBR/ScS 4/15/13,Hippowdon (Shadow) TF+WBR/ScS 4/15/13,Hippowdon (Shadow) IF+WBR/ScS 4/15/13,Hippowdon (Shadow) FF+WBR/ScS 4/15/13,Lapras Psy+SpA/IB 4/15/15,Lickilicky RO+BS/SB 4/13/13,Lickilicky RO+BS/Eq 4/13/13,Lickilicky RO+SB/Eq 4/13/13,Lickilicky RO+BS/HB 4/13/13,Magnezone VS+WC/MrS 5/15/14,Magnezone (Shadow) VS+WC/MrS 5/15/14,Malamar Psy+FoP/SP 4/13/15,Malamar (Shadow) Psy+FoP/SP 4/13/15,Mandibuzz Sn+FoP/SB 15/15/15,Mandibuzz AS+FoP/SB 15/15/15,Mandibuzz AS+AA/FoP 15/15/15,Nidoqueen MSl+PF/SE 4/13/15,Nidoqueen PSt+PF/SE 4/13/15,Nidoqueen PSt+EP/PF 4/13/15,Nidoqueen PSt+EP/PF 4/13/15,Nidoqueen PJ+EP/SE 4/13/15,Pangoro KC+CC/NS 4/15/15,Pangoro KC+RS/NS 4/15/15,Primeape KC+RF/CC 12/15/14,Primeape (Shadow) KC+RF/IP 12/15/14,Primeape (Shadow) KC+RF/CC 12/15/14,Raikou VS+WC/AuS 5/13/13,Runerigus SC+RT/SB 12/12/15,Runerigus SC+RT/ST 12/12/15,Runerigus SC+SB/BrS 12/12/15,Scizor (Shadow) BP+NS/TBl 4/15/14,Skeledirge I+TSo/SB 6/15/13,Skeledirge I+SB/DV 6/15/13,Skeledirge I+TSo/DV 6/15/13,Talonflame I+Fl/BrB 15/15/15,Talonflame I+Fl/FmC 15/15/15,Togekiss Pk+Psh/AuS 5/13/15,Togekiss Pk+AP/AuS 5/13/15,Togekiss Pk+Ft/AuS 5/13/15,Togekiss Pk+DG/AuS 5/13/15,Wins,Losses,Draws,Average
Hippowdon IF+WBR/ScS 4/15/13,303,303,353,353,191,367,586,581,741,148,148,665,166,393,730,847,500,633,728,855,500,671,270,589,442,519,430,698,641,527,510,576,622,622,516,728,896,896,798,369,505,411,493,384,725,529,611,529,317,205,205,205,327,327,581,581,581,581,33,23,2,508.76
Hippowdon FF+WBR/ScS 4/15/13,303,303,353,353,456,597,646,581,741,291,338,921,273,510,605,831,366,500,573,831,328,500,400,589,442,519,430,812,896,527,510,565,622,622,389,714,698,698,777,369,505,411,493,384,725,485,456,485,801,205,205,205,220,220,565,565,546,510,30,26,2,513.19
Kyurem DB+G/DC 5/8/14,220,389,248,259,327,607,633,696,678,202,196,358,548,630,659,801,707,707,619,806,690,690,251,517,565,616,573,545,405,528,707,684,752,752,653,500,678,678,718,317,317,374,346,346,801,553,474,576,248,599,639,599,678,647,395,395,395,389,36,21,1,532.41
Lapras Psy+SpA/IB 4/15/15,381,519,337,359,373,404,409,493,506,541,398,223,407,519,549,478,729,599,686,627,885,738,500,373,528,373,364,257,257,275,308,619,647,673,729,770,670,670,774,361,416,374,428,374,417,569,569,800,255,463,523,463,593,681,567,567,567,567,30,27,1,508.64
Lickilicky RO+BS/SB 4/13/13,96,386,104,116,234,365,455,597,580,316,395,386,600,778,394,410,410,410,621,526,526,526,626,500,500,616,421,469,390,408,419,595,552,552,276,604,408,408,400,248,416,282,502,316,557,623,580,650,583,509,621,509,766,757,592,592,592,592,29,27,2,476.93
Lickilicky RO+BS/Eq 4/13/13,96,295,113,353,86,331,352,604,604,208,623,389,600,778,445,557,557,557,413,511,511,511,471,500,500,616,421,564,659,408,419,595,552,552,397,759,647,647,680,248,416,282,502,316,766,327,327,496,583,516,621,516,766,690,592,592,592,592,33,23,2,493.47
Malamar Psy+FoP/SP 4/13/15,644,661,627,650,478,347,580,264,277,583,516,392,262,326,472,472,472,472,566,489,489,489,725,591,591,633,591,652,533,500,500,244,316,316,625,691,691,691,727,661,661,655,633,772,741,502,575,516,226,677,711,677,476,470,519,519,489,449,34,22,2,535.76
Nidoqueen MSl+PF/SE 4/13/15,530,588,671,671,803,222,419,754,759,801,814,883,485,290,326,828,483,610,391,845,423,646,270,723,602,602,596,941,947,375,400,320,327,327,500,906,906,906,853,613,613,696,591,668,911,410,460,446,489,701,712,701,250,250,486,524,533,574,36,21,1,592.6
Pangoro KC+CC/NS 4/15/15,66,337,80,251,656,492,595,531,569,768,751,460,308,492,569,630,630,630,760,693,693,693,638,751,751,760,901,716,664,338,763,575,153,153,386,395,395,395,531,500,500,251,292,292,716,578,647,736,496,615,630,630,443,443,191,191,191,191,31,25,2,507.79
Raikou VS+AuS/WC 5/13/13,556,556,334,334,516,602,665,668,602,622,834,490,695,559,100,288,274,274,119,345,328,328,582,442,233,471,442,556,280,258,297,718,708,708,88,102,102,102,361,283,586,312,374,374,500,154,212,107,513,596,635,596,695,668,615,615,615,615,27,30,1,441.45
Runerigus SC+RT/SB 12/12/15,690,690,593,593,773,539,539,392,618,589,550,838,643,550,514,827,470,514,633,856,517,715,430,376,672,376,798,769,726,497,322,332,622,651,589,719,769,769,834,421,421,539,411,411,845,500,532,330,379,405,405,539,593,546,690,737,651,629,41,16,1,584.1
Runerigus SC+RT/ST 12/12/15,683,683,615,615,852,604,651,320,352,386,468,848,503,258,535,841,388,543,510,841,366,475,430,419,672,419,798,809,766,425,294,341,622,651,539,741,737,737,841,352,352,697,672,672,787,467,500,460,405,712,733,712,665,633,633,705,748,748,38,19,1,590.19
Talonflame I+Fl/FmC 15/15/15,547,675,645,645,785,690,889,300,630,433,433,729,436,354,315,514,672,779,304,304,619,726,318,242,309,478,488,666,613,529,469,495,616,616,750,309,642,642,690,556,309,431,645,645,331,453,366,514,907,711,764,711,553,500,535,355,565,541,35,22,1,546.34
Togekiss Pk+AuS/AP 5/13/15,644,644,802,647,882,435,458,424,408,196,196,337,892,791,451,418,418,434,644,252,252,630,432,407,407,503,407,435,143,480,550,728,610,570,475,198,198,198,212,808,610,610,882,724,384,262,294,294,259,486,486,486,671,644,553,500,510,486,23,34,1,485.47
Togekiss Pk+AuS/Psh 5/13/15,684,684,802,647,882,435,458,424,408,196,196,337,892,791,451,418,418,434,644,252,252,630,432,407,407,503,407,435,143,480,550,557,500,570,513,198,198,198,212,808,610,610,882,724,384,309,366,366,259,433,433,433,464,464,500,446,463,429,19,37,2,472.9
Togekiss Pk+AuS/Ft 5/13/15,657,657,802,647,882,614,590,457,267,196,196,570,892,791,470,418,418,453,644,252,252,651,432,407,407,503,407,113,143,510,550,640,506,590,466,198,198,198,212,808,610,610,882,724,384,348,251,251,259,405,405,405,419,434,536,489,500,489,24,33,1,473.53
Togekiss Pk+AuS/DG 5/13/15,657,657,802,647,882,435,458,493,267,196,196,337,892,791,677,418,418,489,644,252,252,651,432,407,407,503,407,435,143,550,550,728,526,610,425,198,198,198,212,808,610,610,882,724,384,370,251,251,259,355,355,355,419,458,570,513,510,500,24,33,1,476.28
Zapdos TS+DrlP/Tb 8/14/15,724,724,671,671,416,889,889,408,513,842,791,414,798,758,277,271,76,271,301,307,65,307,765,342,352,361,352,375,412,352,491,620,805,805,281,259,458,458,458,647,193,634,272,590,298,316,291,276,664,383,383,383,674,657,791,791,791,791,25,33,0,502.66
