,Annihilape C+RF/IP 5/14/15,Annihilape C+RF/CC 5/14/15,Annihilape (Shadow) C+RF/IP 5/14/15,Annihilape (Shadow) C+RF/CC 5/14/15,Cobalion DK+SSw/SE 6/15/11,Corviknight SdA+AC/Pbk 4/14/13,Corviknight SdA+IH/Pbk 4/14/13,Drapion PSt+Cr/AT 4/15/15,Drapion PSt+Cr/SlB 4/15/15,Empoleon MSo+HC/DrlP 6/15/14,Empoleon (Shadow) MSo+HC/DrlP 6/15/14,Forretress VS+RT/Eq 13/14/15,Golisopod FC+XS/AJ 5/13/15,Golisopod SC+XS/AJ 5/13/15,Hippowdon SdA+WBR/ScS 4/15/13,Hippowdon TF+WBR/ScS 4/15/13,Hippowdon IF+WBR/ScS 4/15/13,Hippowdon FF+WBR/ScS 4/15/13,Hippowdon (Shadow) SdA+WBR/ScS 4/15/13,Hippowdon (Shadow) TF+WBR/ScS 4/15/13,Hippowdon (Shadow) IF+WBR/ScS 4/15/13,Hippowdon (Shadow) FF+WBR/ScS 4/15/13,Lapras Psy+SpA/IB 4/15/15,Lickilicky RO+BS/SB 4/13/13,Lickilicky RO+BS/Eq 4/13/13,Lickilicky RO+SB/Eq 4/13/13,Lickilicky RO+BS/HB 4/13/13,Magnezone VS+WC/MrS 5/15/14,Magnezone (Shadow) VS+WC/MrS 5/15/14,Malamar Psy+FoP/SP 4/13/15,Malamar (Shadow) Psy+FoP/SP 4/13/15,Mandibuzz Sn+FoP/SB 15/15/15,Mandibuzz AS+FoP/SB 15/15/15,Mandibuzz AS+AA/FoP 15/15/15,Nidoqueen MSl+PF/SE 4/13/15,Nidoqueen PSt+PF/SE 4/13/15,Nidoqueen PSt+EP/PF 4/13/15,Nidoqueen PSt+EP/PF 4/13/15,Nidoqueen PJ+EP/SE 4/13/15,Pangoro KC+CC/NS 4/15/15,Pangoro KC+RS/NS 4/15/15,Primeape KC+RF/CC 12/15/14,Primeape (Shadow) KC+RF/IP 12/15/14,Primeape (Shadow) KC+RF/CC 12/15/14,Raikou VS+WC/AuS 5/13/13,Runerigus SC+RT/SB 12/12/15,Runerigus SC+RT/ST 12/12/15,Runerigus SC+SB/BrS 12/12/15,Scizor (Shadow) BP+NS/TBl 4/15/14,Skeledirge I+TSo/SB 6/15/13,Skeledirge I+SB/DV 6/15/13,Skeledirge I+TSo/DV 6/15/13,Talonflame I+Fl/BrB 15/15/15,Talonflame I+Fl/FmC 15/15/15,Togekiss Pk+Psh/AuS 5/13/15,Togekiss Pk+AP/AuS 5/13/15,Togekiss Pk+Ft/AuS 5/13/15,Togekiss Pk+DG/AuS 5/13/15,Wins,Losses,Draws,Average
Annihilape (Shadow) C+RF/CC 5/14/15,500,500,500,500,754,610,607,596,651,812,803,696,580,315,407,646,646,646,459,596,596,596,640,883,646,883,726,762,765,350,358,505,483,483,328,629,770,770,745,748,748,640,599,599,665,406,384,370,555,236,236,236,377,354,352,352,352,352,34,20,4,556.95
Annihilape (Shadow) C+RF/IP 5/14/15,500,500,500,500,906,610,790,660,660,828,803,696,580,315,429,646,646,646,486,596,596,596,662,895,886,895,837,762,765,372,369,519,530,530,328,629,770,770,745,919,919,640,613,613,665,406,384,370,558,236,236,236,377,354,197,197,197,197,36,18,4,570.12
Corviknight SdA+AC/Pbk 4/14/13,541,359,389,389,549,500,512,686,764,512,683,239,764,673,704,402,632,402,559,415,559,415,595,634,668,691,619,424,541,652,455,430,585,585,777,735,784,784,880,507,611,438,496,190,397,460,395,456,681,575,637,575,306,309,564,564,385,564,36,21,1,544.78
Drapion PSt+Cr/AT 4/15/15,314,314,339,403,308,313,487,500,607,373,322,285,358,450,244,418,418,418,315,660,660,660,506,402,395,423,414,382,280,735,758,653,519,506,245,676,425,425,777,468,485,647,575,384,331,607,679,754,368,405,532,405,699,699,575,575,542,506,24,33,1,481.43
Drapion PSt+Cr/SlB 4/15/15,314,314,339,348,219,235,388,392,500,306,322,285,358,390,236,258,258,258,307,339,339,339,493,419,395,423,414,321,363,722,441,660,591,578,240,441,419,419,430,430,465,489,591,227,397,381,647,663,368,397,430,397,369,369,591,591,732,732,11,46,1,415.16
Empoleon MSo+HC/DrlP 6/15/14,185,408,171,187,135,487,487,626,693,500,500,263,623,560,629,541,851,708,613,233,851,661,458,683,791,683,658,356,390,416,483,446,610,648,198,898,898,898,844,231,265,210,251,251,377,410,613,661,778,466,466,466,497,566,803,803,803,803,29,27,2,534.31
Empoleon (Shadow) MSo+HC/DrlP 6/15/14,171,187,196,196,135,316,347,677,677,500,500,306,613,553,613,233,851,661,503,233,851,613,601,604,376,411,575,390,121,483,708,629,772,772,185,898,816,816,844,248,248,251,333,333,165,449,531,594,756,566,613,566,613,566,803,803,803,803,33,23,2,516.84
Golurk (Shadow) MSl+ShP/DyP 4/13/13,743,743,759,759,909,370,411,921,921,813,756,858,290,290,358,840,288,584,440,789,307,536,443,314,849,849,795,933,918,366,450,120,320,320,641,864,864,864,840,551,551,575,852,852,912,302,294,330,441,620,635,620,273,488,174,191,375,375,33,25,0,583.55
Hippowdon SdA+WBR/ScS 4/15/13,279,389,570,592,679,295,404,755,763,370,386,885,308,326,500,730,269,394,500,717,271,426,450,605,554,703,364,899,896,527,433,479,483,483,673,750,913,913,823,430,450,329,502,282,899,485,464,485,502,684,717,673,717,684,548,548,529,322,30,26,2,551.83
Hippowdon TF+WBR/ScS 4/15/13,303,303,353,353,339,597,646,581,741,458,766,875,432,538,269,500,152,168,282,500,144,168,521,589,442,519,430,698,641,527,510,576,622,622,171,486,486,486,508,369,505,411,493,384,711,172,158,172,441,305,305,305,485,485,581,581,581,581,24,32,2,453.91
