,Feraligatr SC+HC/IB 0/11/13,Feraligatr SC+HC/Cr 0/11/13,Hypno Cf+SB/TP 0/13/13,Toucannon Pk+BBl/DrlP 0/14/13,Dewott FC+AT/XS 0/15/15,Florges FW+CW/DV 0/14/13,Florges FW+CW/M 0/14/13,Florges FW+CW/TBl 0/14/13,Dunsparce RO+DR/RS 0/14/12,Wins,Losses,Draws,Average
Raichu (Alolan) VS+WC/Psh 1/15/15,589,589,705,812,531,292,535,310,283,6,3,0,516.22
Raichu (Alolan) VS+TBl/Psh 1/15/15,620,620,669,816,584,328,535,346,315,6,3,0,537
Raichu (Alolan) VS+WC/TBl 1/15/15,620,620,669,816,584,369,427,396,315,5,4,0,535.11
Raichu (Alolan) TS+WC/Psh 1/15/15,526,526,419,741,310,328,355,211,425,3,6,0,426.78
Raichu (Alolan) TS+TBl/Psh 1/15/15,428,428,416,741,373,391,414,414,352,1,8,0,439.67
Raichu (Alolan) TS+WC/TBl 1/15/15,412,412,419,741,360,723,723,700,745,5,4,0,581.67
Grumpig Psy+DyP/SB 1/14/15,376,376,757,383,296,597,500,623,675,4,4,1,509.22
Oinkologne (Female) MSl+BS/TBl 0/14/15,688,688,535,379,483,445,502,445,661,5,4,0,536.22
Gyarados (Shadow) DB+AT/Tw 0/14/15,656,656,512,544,620,283,301,310,427,5,4,0,478.78
Florges FW+TBl/CW 0/14/13,572,572,469,459,675,500,414,500,680,4,3,2,537.89
Florges FW+DV/CW 0/14/13,246,246,496,720,463,549,549,500,648,4,4,1,490.78
Florges FW+M/CW 0/14/13,585,585,187,459,662,450,500,585,473,4,4,1,498.44
Slowking (Galarian) H+S/SB 0/14/13,206,206,678,129,206,542,503,560,352,4,5,0,375.78
Slowking (Galarian) H+Sc/SB 0/14/13,206,206,678,129,206,542,369,560,235,3,6,0,347.89
Slowking (Galarian) H+Psh/SB 0/14/13,206,206,678,129,460,542,503,578,379,4,5,0,409
