,Annihilape C+RF/IP 5/14/15,Annihilape C+RF/CC 5/14/15,Annihilape (Shadow) C+RF/IP 5/14/15,Annihilape (Shadow) C+RF/CC 5/14/15,Cobalion DK+SSw/SE 6/15/11,Corviknight SdA+AC/Pbk 4/14/13,Corviknight SdA+IH/Pbk 4/14/13,Drapion PSt+Cr/AT 4/15/15,Drapion PSt+Cr/SlB 4/15/15,Empoleon MSo+HC/DrlP 6/15/14,Empoleon (Shadow) MSo+HC/DrlP 6/15/14,Forretress VS+RT/Eq 13/14/15,Golisopod FC+XS/AJ 5/13/15,Golisopod SC+XS/AJ 5/13/15,Hippowdon SdA+WBR/ScS 4/15/13,Hippowdon TF+WBR/ScS 4/15/13,Hippowdon IF+WBR/ScS 4/15/13,Hippowdon FF+WBR/ScS 4/15/13,Hippowdon (Shadow) SdA+WBR/ScS 4/15/13,Hippowdon (Shadow) TF+WBR/ScS 4/15/13,Hippowdon (Shadow) IF+WBR/ScS 4/15/13,Hippowdon (Shadow) FF+WBR/ScS 4/15/13,Lapras Psy+SpA/IB 4/15/15,Lickilicky RO+BS/SB 4/13/13,Lickilicky RO+BS/Eq 4/13/13,Lickilicky RO+SB/Eq 4/13/13,Lickilicky RO+BS/HB 4/13/13,Magnezone VS+WC/MrS 5/15/14,Magnezone (Shadow) VS+WC/MrS 5/15/14,Malamar Psy+FoP/SP 4/13/15,Malamar (Shadow) Psy+FoP/SP 4/13/15,Mandibuzz Sn+FoP/SB 15/15/15,Mandibuzz AS+FoP/SB 15/15/15,Mandibuzz AS+AA/FoP 15/15/15,Nidoqueen MSl+PF/SE 4/13/15,Nidoqueen PSt+PF/SE 4/13/15,Nidoqueen PSt+EP/PF 4/13/15,Nidoqueen PSt+EP/PF 4/13/15,Nidoqueen PJ+EP/SE 4/13/15,Pangoro KC+CC/NS 4/15/15,Pangoro KC+RS/NS 4/15/15,Primeape KC+RF/CC 12/15/14,Primeape (Shadow) KC+RF/IP 12/15/14,Primeape (Shadow) KC+RF/CC 12/15/14,Raikou VS+WC/AuS 5/13/13,Runerigus SC+RT/SB 12/12/15,Runerigus SC+RT/ST 12/12/15,Runerigus SC+SB/BrS 12/12/15,Scizor (Shadow) BP+NS/TBl 4/15/14,Skeledirge I+TSo/SB 6/15/13,Skeledirge I+SB/DV 6/15/13,Skeledirge I+TSo/DV 6/15/13,Talonflame I+Fl/BrB 15/15/15,Talonflame I+Fl/FmC 15/15/15,Togekiss Pk+Psh/AuS 5/13/15,Togekiss Pk+AP/AuS 5/13/15,Togekiss Pk+Ft/AuS 5/13/15,Togekiss Pk+DG/AuS 5/13/15,Wins,Losses,Draws,Average
Annihilape (Shadow) C+RF/CC 5/14/15,500,500,500,500,765,657,657,632,687,524,803,765,468,393,535,654,654,654,690,698,698,698,527,549,657,549,839,762,765,236,291,334,434,313,395,629,513,513,469,585,585,654,599,599,387,341,356,327,390,383,383,383,389,389,271,335,298,298,31,23,4,523.43
Annihilape (Shadow) C+RF/IP 5/14/15,500,500,500,500,908,437,624,477,671,541,803,475,468,393,552,674,674,674,530,698,698,698,527,560,850,560,850,762,765,383,302,397,381,381,395,629,513,513,469,756,756,654,613,613,387,341,356,327,412,383,383,383,389,389,271,335,298,298,28,26,4,527.17
Corviknight SdA+AC/Pbk 4/14/13,590,595,562,342,496,500,546,650,650,538,709,294,634,541,715,467,569,467,608,396,624,396,487,577,681,577,642,280,363,670,678,318,432,502,645,598,696,696,743,551,629,394,435,435,314,417,384,417,722,668,699,668,312,282,473,473,328,473,32,25,1,526.69
Drapion PSt+Cr/AT 4/15/15,422,386,522,367,379,349,354,500,637,338,386,303,404,522,220,388,388,388,279,483,483,483,555,506,364,526,378,359,231,764,633,604,555,509,395,705,575,575,519,442,424,459,643,312,413,669,640,725,343,568,627,568,327,565,466,466,466,466,23,34,1,471.09
Drapion PSt+Cr/SlB 4/15/15,480,279,328,312,280,349,354,362,500,272,306,303,333,522,211,228,228,228,271,296,296,296,542,506,380,526,378,303,318,758,647,683,607,542,226,506,406,406,406,421,404,431,643,156,367,519,627,715,343,386,581,386,306,354,676,676,676,676,19,38,1,422.71
Empoleon MSo+HC/DrlP 6/15/14,395,395,458,475,299,461,522,661,727,500,500,398,689,642,445,486,775,486,712,680,901,775,515,488,488,488,582,321,371,522,430,434,651,689,477,772,544,544,844,158,494,156,522,187,334,518,613,518,623,422,422,422,494,449,550,550,550,550,28,28,2,518.52
Empoleon (Shadow) MSo+HC/DrlP 6/15/14,458,475,196,196,86,290,297,613,693,500,500,288,667,620,712,680,901,775,632,617,901,743,495,645,326,338,617,371,465,430,469,495,667,667,582,873,857,857,882,184,569,187,221,221,413,424,645,655,604,743,743,743,743,727,870,870,870,870,34,22,2,572.03
Golurk (Shadow) MSl+ShP/DyP 4/13/13,572,572,819,819,846,305,326,689,560,468,756,906,202,202,521,888,563,707,680,864,307,698,329,509,900,900,846,933,918,255,313,83,260,260,692,930,930,930,864,581,581,617,326,326,912,467,545,219,437,707,707,707,404,404,305,355,322,322,35,23,0,575.28
Hippowdon SdA+WBR/ScS 4/15/13,381,348,447,464,720,284,375,779,788,554,287,823,496,540,500,671,336,516,500,638,369,380,422,562,435,562,416,831,798,344,380,455,460,529,657,771,733,733,845,378,424,431,570,644,769,532,548,417,357,497,766,744,464,516,600,600,600,600,31,25,2,544.59
Hippowdon TF+WBR/ScS 4/15/13,475,234,325,345,557,532,616,611,771,513,319,701,548,595,328,500,192,336,361,500,206,214,469,554,480,554,469,728,676,363,584,611,657,690,417,595,458,458,554,355,576,411,476,448,741,302,316,287,310,388,422,422,766,755,665,665,665,665,27,29,2,495.36
Hippowdon IF+WBR/ScS 4/15/13,475,234,325,345,438,430,443,611,771,224,98,690,358,358,663,807,500,684,630,793,500,508,248,554,480,554,469,728,676,363,584,611,657,690,630,673,728,728,834,355,576,411,476,448,741,573,635,573,222,322,355,355,766,755,665,665,665,665,33,23,2,539.91
Hippowdon FF+WBR/ScS 4/15/13,475,234,325,345,576,532,616,611,771,513,224,932,464,464,483,663,315,500,619,785,491,500,359,554,480,554,469,815,812,363,584,483,495,529,630,673,728,728,834,355,576,411,476,448,741,438,467,410,801,322,355,355,458,494,453,453,453,453,24,32,2,524.95
Kyurem DB+G/DC 5/8/14,364,364,441,441,237,531,448,627,690,303,136,337,585,639,502,673,588,588,636,855,761,761,372,383,534,588,354,514,371,556,475,795,687,715,486,590,568,568,721,222,234,261,261,261,573,585,585,599,222,422,422,422,395,440,372,372,372,359,28,30,0,485.57
Lapras Psy+SpA/IB 4/15/15,512,483,472,472,320,512,512,444,457,484,504,331,519,564,577,530,751,640,727,575,757,653,500,459,459,469,421,162,162,634,300,567,612,612,803,658,731,731,816,135,372,261,612,261,357,636,636,658,448,580,562,562,595,586,634,634,634,634,36,21,1,529.12
Lickilicky RO+BS/SB 4/13/13,383,367,439,450,212,422,422,493,493,511,354,398,521,664,437,445,445,445,666,585,585,585,540,500,497,535,390,538,481,363,341,611,583,583,364,538,453,453,511,225,401,238,547,272,588,654,611,754,502,630,661,630,564,657,422,422,422,422,26,31,1,486.64
Lickilicky RO+BS/Eq 4/13/13,292,276,149,342,123,318,318,635,619,511,673,414,478,654,564,519,519,519,377,585,585,585,540,502,500,545,457,623,576,363,402,604,569,569,486,566,547,547,554,225,401,238,547,272,616,438,435,559,496,630,661,630,564,666,486,486,486,486,32,25,1,488.4
Malamar Psy+FoP/SP 4/13/15,613,741,616,763,547,329,323,235,241,477,569,368,216,216,655,636,636,636,619,415,415,415,365,636,636,691,561,563,155,500,500,288,293,300,569,563,563,563,730,482,519,725,658,387,473,575,647,575,434,447,497,447,377,431,406,406,406,345,27,29,2,489.55
Nidoqueen MSl+PF/SE 4/13/15,486,486,604,604,737,354,354,604,773,522,417,585,574,533,342,582,369,369,326,872,530,646,196,635,513,613,607,941,947,430,302,372,372,505,500,801,604,604,872,649,649,629,616,707,825,453,399,359,456,538,538,566,175,339,574,693,618,693,37,20,1,551.02
Pangoro KC+CC/NS 4/15/15,201,337,243,414,771,448,606,557,578,841,815,460,273,436,621,644,644,644,214,612,612,612,864,774,774,916,916,812,777,517,319,676,311,302,350,359,359,359,367,500,635,278,329,329,483,627,604,627,710,491,491,491,395,395,154,154,154,154,27,30,1,505.79
Raikou VS+AuS/WC 5/13/13,692,692,612,612,450,685,748,586,632,665,586,340,552,609,230,258,258,258,277,309,309,309,642,411,383,383,383,817,596,526,543,735,735,735,174,201,174,174,201,516,688,207,625,248,500,129,165,165,784,497,497,497,698,672,655,655,655,655,30,27,1,482.59
Runerigus SC+RT/SB 12/12/15,737,737,658,658,798,582,582,330,480,481,575,776,468,468,467,697,426,561,571,802,480,514,363,345,561,345,737,852,820,425,525,441,476,550,546,687,561,561,676,372,372,579,312,514,870,500,676,284,510,291,525,669,557,597,708,766,697,676,38,19,1,565.41
Runerigus SC+RT/ST 12/12/15,683,683,643,643,751,615,658,359,372,386,354,791,468,468,451,683,364,532,557,679,339,483,363,388,564,388,741,730,805,352,425,441,476,550,600,751,712,712,676,395,395,517,435,435,834,323,500,287,383,780,780,769,762,751,708,766,697,676,33,24,1,566.02
Talonflame I+Fl/FmC 15/15/15,672,672,610,610,812,717,919,434,645,550,272,729,559,538,483,244,244,505,233,288,288,288,413,342,333,342,371,420,613,568,589,586,636,636,660,190,559,559,729,604,184,532,411,411,327,402,248,562,907,636,511,601,377,500,627,218,657,633,33,24,1,503.55
Togekiss Pk+AuS/AP 5/13/15,684,684,664,664,577,526,409,533,323,449,129,297,741,677,399,334,334,546,451,394,394,432,365,577,513,577,369,401,117,593,573,580,550,593,306,237,292,292,403,845,647,644,620,567,344,233,233,334,259,400,400,400,781,781,466,500,513,483,26,31,1,472.91
Togekiss Pk+AuS/Psh 5/13/15,728,728,728,728,577,526,409,533,323,449,129,297,724,637,399,334,334,546,451,394,394,432,365,577,513,577,369,401,117,593,573,580,550,593,425,356,411,411,513,845,647,644,620,567,344,291,291,478,259,347,347,347,372,372,500,533,546,506,27,30,1,475.52
