,Abomasnow PS+WBI/EB 4/15/15,Amoonguss A+GK/FoP 4/15/9,Barbaracle FC+CrC/SE 6/15/15,Blastoise RO+HC/SkB 4/8/15,Cofagrigus SC+SB/DP 6/13/14,Dartrix Pk+BrB/SeB 4/11/14,Dewgong IS+IW/DR 4/15/14,Doublade SC+SSw/GB 6/15/15,Drifblim A+IW/SB 4/15/11,Feraligatr SC+HC/IB 5/11/14,Froslass PS+Av/SB 4/14/14,Galvantula VS+D/Lu 4/15/9,Golbat WA+PF/SB 4/13/15,Golbat (Shadow) WA+PF/SB 4/13/15,Golisopod SC+XS/AJ 4/15/13,Gyarados DB+AT/Cr 4/14/7,Lokix SkP+XS/TBl 4/15/13,Marowak (Alolan) FS+BC/SBo 4/15/14,Pelipper WA+WBW/Hu 6/15/14,Runerigus SC+SB/RT 6/13/14,Samurott (Shadow) FC+HC/Mh 5/14/15,Seaking Pk+DR/IW 4/13/14,Sealeo PS+S/BS 5/15/12,Sealeo (Shadow) PS+S/BS 5/15/12,Skuntank PJ+Cr/TBl 4/15/14,Skuntank (Shadow) PJ+Cr/TBl 4/15/14,Slowking (Galarian) Ac+Psh/SB 4/15/13,Swalot MS+Sl/IB 5/13/15,Tentacruel Ac+Sc/Pbk 4/15/15,Trevenant SC+SeB/SB 3/13/12,Weezing RO+SlB/SB 2/13/11,Weezing (Galarian) FW+Sl/BrS 4/14/13,Wins,Losses,Draws,Average
Skuntank (Shadow) PJ+Cr/TBl 4/15/14,772,727,339,415,357,750,582,150,623,803,373,550,305,366,803,651,683,320,473,183,677,485,398,428,500,500,416,283,343,756,512,594,14,16,2,503.66
Doublade SC+SSw/GB 6/15/15,792,324,764,584,542,509,764,500,356,452,806,495,764,740,439,471,155,400,594,566,853,405,533,792,811,849,919,551,900,561,849,627,22,9,1,614.59
Blastoise RO+HC/SkB 4/8/15,314,429,413,500,426,415,653,415,442,576,819,507,557,503,569,592,557,800,460,330,264,550,673,650,550,584,442,538,461,198,592,418,17,14,1,506.16
Blastoise RO+HC/IB 4/8/15,314,457,413,434,426,526,580,415,542,546,819,507,557,503,569,592,557,800,642,330,264,503,561,507,487,584,442,538,442,198,576,418,19,13,0,501.53
Amoonguss A+FoP/GK 4/15/9,258,500,343,570,754,292,436,675,621,360,612,790,294,330,570,505,303,448,343,740,452,297,291,273,351,272,438,383,562,774,584,461,12,19,1,465.06
Galvantula VS+D/Lu 4/15/9,290,209,758,492,622,370,643,504,516,766,438,524,704,745,766,799,438,268,844,224,696,737,464,635,462,449,336,491,655,312,387,553,17,15,0,534.28
Galvantula FC+D/Lu 4/15/9,688,635,504,622,549,308,532,353,148,380,469,704,230,230,439,239,553,88,508,325,433,684,282,351,386,449,344,365,598,606,549,133,13,19,0,427.63
Seaking Pk+DR/IW 4/13/14,503,702,230,450,435,565,543,594,473,652,666,262,561,276,619,565,565,695,482,417,382,500,500,695,576,514,557,459,724,507,815,655,20,10,2,535.59
