,Togekiss Pk+Psh/AuS 4/15/15,Feraligatr SC+HC/IB 5/11/14,Feraligatr SC+HC/Cr 5/11/14,Forretress (Shadow) VS+ST/RT 5/15/13,Forretress (Shadow) BBi+ST/RT 5/15/13,Gourgeist (Super) I+SB/SeB 6/15/13,Piloswine (Shadow) PS+ISp/SE 4/14/11,Stunfisk TS+MB/D 5/15/13,Wins,Losses,Draws,Average
Corsola (Galarian) A+NSh/PG 4/15/14,683,553,553,669,672,375,586,507,7,1,0,574.75
Grumpig Psy+DyP/SB 4/15/15,651,522,280,530,175,670,515,453,5,3,0,474.5
Diggersby MS+FiP/ScS 4/15/14,326,328,328,741,629,492,347,738,3,5,0,491.13
Lickilicky RO+BS/SB 4/15/8,534,515,515,503,367,521,357,436,5,3,0,468.5
Lickilicky RO+Eq/SB 4/15/8,534,503,503,503,367,521,477,581,6,2,0,498.63
Forretress (Shadow) BBi+ST/RT 5/15/13,317,542,542,296,500,267,500,675,3,3,2,454.88
Forretress (Shadow) VS+ST/RT 5/15/13,570,589,589,519,703,120,279,354,5,3,0,465.38
Togekiss Pk+Psh/AuS 4/15/15,500,448,488,429,682,786,604,258,3,4,1,524.38
Togekiss Pk+Ft/AuS 4/15/15,560,448,488,569,778,734,604,258,5,3,0,554.88
Togekiss Pk+AP/AuS 4/15/15,582,448,488,429,682,734,604,258,4,4,0,528.13
Togekiss Pk+DG/AuS 4/15/15,560,534,534,429,682,734,604,258,6,2,0,541.88
