,Abomasnow PS+WBI/EB 4/15/15,Amoonguss A+GK/FoP 4/15/9,Barbaracle FC+CrC/SE 6/15/15,Blastoise RO+HC/SkB 4/8/15,Cofagrigus SC+SB/DP 6/13/14,Dartrix Pk+BrB/SeB 4/11/14,Dewgong IS+IW/DR 4/15/14,Doublade SC+SSw/GB 6/15/15,Drifblim A+IW/SB 4/15/11,Feraligatr SC+HC/IB 5/11/14,Froslass PS+Av/SB 4/14/14,Galvantula VS+D/Lu 4/15/9,Golbat WA+PF/SB 4/13/15,Golbat (Shadow) WA+PF/SB 4/13/15,Golisopod SC+XS/AJ 4/15/13,Gyarados DB+AT/Cr 4/14/7,Lokix SkP+XS/TBl 4/15/13,Marowak (Alolan) FS+BC/SBo 4/15/14,Pelipper WA+WBW/Hu 6/15/14,Runerigus SC+SB/RT 6/13/14,Samurott (Shadow) FC+HC/Mh 5/14/15,Seaking Pk+DR/IW 4/13/14,Sealeo PS+S/BS 5/15/12,Sealeo (Shadow) PS+S/BS 5/15/12,Skuntank PJ+Cr/TBl 4/15/14,Skuntank (Shadow) PJ+Cr/TBl 4/15/14,Slowking (Galarian) Ac+Psh/SB 4/15/13,Swalot MS+Sl/IB 5/13/15,Tentacruel Ac+Sc/Pbk 4/15/15,Trevenant SC+SeB/SB 3/13/12,Weezing RO+SlB/SB 2/13/11,Weezing (Galarian) FW+Sl/BrS 4/14/13,Wins,Losses,Draws,Average
Skuntank (Shadow) PJ+Cr/TBl 4/15/14,645,629,693,867,655,743,417,712,857,613,503,550,464,620,626,598,509,518,591,575,183,173,482,541,500,500,743,353,503,639,452,500,22,7,3,561.06
Doublade SC+SSw/GB 6/15/15,797,358,707,461,408,412,599,500,461,344,731,483,363,438,398,409,323,328,360,408,584,528,655,613,537,287,542,655,693,274,431,712,13,18,1,493.72
Blastoise RO+HC/SkB 4/8/15,493,338,565,546,584,448,596,538,406,565,603,483,615,715,684,692,196,673,565,584,323,478,665,634,526,132,438,615,580,293,676,523,21,11,0,524.13
Blastoise RO+HC/IB 4/8/15,402,367,565,334,584,573,515,538,500,500,603,446,646,634,379,661,442,673,534,584,323,442,503,588,526,392,344,470,374,580,676,523,18,12,2,506.91
Amoonguss A+FoP/GK 4/15/9,314,500,618,661,624,233,514,641,564,590,184,491,374,366,505,669,389,480,443,666,711,593,542,703,332,370,556,385,593,612,383,422,17,14,1,500.88
Galvantula VS+D/Lu 4/15/9,451,508,733,516,302,321,565,516,803,545,361,557,721,663,586,622,778,292,651,183,213,877,635,655,351,449,434,295,450,351,327,375,17,15,0,502.69
Galvantula FC+D/Lu 4/15/9,614,557,495,473,293,305,565,297,373,492,292,557,424,453,561,635,778,220,897,261,836,565,422,443,401,481,336,254,377,450,314,267,10,22,0,459
Seaking Pk+DR/IW 4/13/14,444,406,439,521,344,670,464,471,409,420,446,122,525,464,416,429,500,597,521,572,433,500,619,528,481,826,496,543,630,597,615,469,13,17,2,497.41
