,Kyogre W+Av/OP 15/15/15,Kyogre W+Av/T 15/15/15,Xerneas Geo+CC/M 15/15/15,Reshiram DB+FuF/Cr 15/15/15,Reshiram DB+FuF/DM 15/15/15,Reshiram DB+FuF/SE 15/15/15,Lugia DT+A/Fl 15/15/15,Moltres (Galarian) SkP+Pbk/Fl 15/15/15,Moltres (Galarian) SkP+BrB/Fl 15/15/15,Latios DB+AuS/LrP 15/15/15,Wins,Losses,Draws,Average
Necrozma (Dusk Mane) SC+O/Stl 15/15/15,290,290,594,282,282,282,611,134,134,619,3,7,0,351.8
Meloetta (Aria) QA+Psh/Tb 15/15/15,694,694,624,426,440,440,388,572,572,412,5,5,0,526.2
Groudon MS+FiP/PrB 15/15/15,127,127,804,725,725,725,221,360,354,567,5,5,0,473.5
Ampharos (Mega) VS+TP/BrS 15/15/15,801,801,540,355,355,355,728,731,731,436,6,4,0,583.3
Gyarados DB+AT/Tw 15/15/15,726,726,349,695,695,695,366,451,451,695,6,4,0,584.9
Florges FW+TBl/CW 15/15/15,619,619,571,556,556,556,565,702,702,869,10,0,0,631.5
