,Raichu (Alolan) TS+WC/TBl 6/14/15,Samurott FC+HC/Mh 5/14/15,Kingdra DB+Sw/O 5/15/12,Gyarados (Shadow) DB+AT/Tw 4/14/7,Hypno Cf+SB/TP 5/13/14,Weezing (Galarian) (Shadow) FW+Sl/BrS 4/14/13,Wins,Losses,Draws,Average
Hypno Cf+SB/TP 5/13/14,568,341,427,537,500,829,3,2,1,533.67
Raichu (Alolan) TS+WC/TBl 6/14/15,500,422,283,752,431,262,1,4,1,441.67
Weezing (Galarian) FW+Sl/BrS 4/14/13,771,599,875,875,292,500,4,1,1,652
Grumpig Psy+DyP/SB 4/15/15,288,349,427,355,753,560,2,4,0,455.33
Dubwool DK+BS/Pbk 5/14/14,387,726,402,157,255,280,1,5,0,367.83
Castform H+WBR/EB 4/15/14,773,389,389,705,537,409,3,3,0,533.67
