,Feraligatr SC+HC/IB 0/11/13,Feraligatr SC+HC/Cr 0/11/13,Hypno Cf+SB/TP 0/13/13,Toucannon Pk+BBl/DrlP 0/14/13,Dewott FC+AT/XS 0/15/15,Florges FW+CW/DV 0/14/13,Florges FW+CW/M 0/14/13,Florges FW+CW/TBl 0/14/13,Dunsparce RO+DR/RS 0/14/12,Wins,Losses,Draws,Average
Raichu (Alolan) VS+WC/Psh 1/15/15,683,683,678,629,323,611,575,571,350,7,2,0,567
Raichu (Alolan) VS+TBl/Psh 1/15/15,440,440,375,816,343,540,558,571,350,4,5,0,492.56
Raichu (Alolan) VS+WC/TBl 1/15/15,440,440,781,816,343,611,495,571,176,4,5,0,519.22
Raichu (Alolan) TS+WC/Psh 1/15/15,683,683,385,834,456,378,337,549,358,4,5,0,518.11
Raichu (Alolan) TS+TBl/Psh 1/15/15,683,683,298,834,240,373,337,504,254,4,5,0,467.33
Raichu (Alolan) TS+WC/TBl 1/15/15,683,683,288,816,213,522,540,598,245,6,3,0,509.78
Grumpig Psy+DyP/SB 1/14/15,533,277,489,578,463,468,541,526,694,5,4,0,507.67
Oinkologne (Female) MSl+BS/TBl 0/14/15,720,720,608,326,620,369,541,526,552,7,2,0,553.56
Gyarados (Shadow) DB+AT/Tw 0/14/15,732,732,399,708,632,270,279,319,328,4,5,0,488.78
Florges FW+TBl/CW 0/14/13,500,500,432,423,585,490,536,500,572,3,3,3,504.22
Florges FW+DV/CW 0/14/13,444,444,453,451,406,500,536,509,483,2,6,1,469.56
Florges FW+M/CW 0/14/13,626,626,389,407,689,463,500,463,427,3,5,1,510
Slowking (Galarian) H+S/SB 0/14/13,142,142,466,334,436,495,495,635,334,1,8,0,386.56
Slowking (Galarian) H+Sc/SB 0/14/13,142,142,466,100,436,495,495,614,216,1,8,0,345.11
Slowking (Galarian) H+Psh/SB 0/14/13,396,396,466,362,436,495,495,646,360,1,8,0,450.22
