,Annihilape C+RF/IP 5/14/15,Annihilape C+RF/CC 5/14/15,Annihilape (Shadow) C+RF/IP 5/14/15,Annihilape (Shadow) C+RF/CC 5/14/15,Cobalion DK+SSw/SE 6/15/11,Corviknight SdA+AC/Pbk 4/14/13,Corviknight SdA+IH/Pbk 4/14/13,Drapion PSt+Cr/AT 4/15/15,Drapion PSt+Cr/SlB 4/15/15,Empoleon MSo+HC/DrlP 6/15/14,Empoleon (Shadow) MSo+HC/DrlP 6/15/14,Forretress VS+RT/Eq 13/14/15,Golisopod FC+XS/AJ 5/13/15,Golisopod SC+XS/AJ 5/13/15,Hippowdon SdA+WBR/ScS 4/15/13,Hippowdon TF+WBR/ScS 4/15/13,Hippowdon IF+WBR/ScS 4/15/13,Hippowdon FF+WBR/ScS 4/15/13,Hippowdon (Shadow) SdA+WBR/ScS 4/15/13,Hippowdon (Shadow) TF+WBR/ScS 4/15/13,Hippowdon (Shadow) IF+WBR/ScS 4/15/13,Hippowdon (Shadow) FF+WBR/ScS 4/15/13,Lapras Psy+SpA/IB 4/15/15,Lickilicky RO+BS/SB 4/13/13,Lickilicky RO+BS/Eq 4/13/13,Lickilicky RO+SB/Eq 4/13/13,Lickilicky RO+BS/HB 4/13/13,Magnezone VS+WC/MrS 5/15/14,Magnezone (Shadow) VS+WC/MrS 5/15/14,Malamar Psy+FoP/SP 4/13/15,Malamar (Shadow) Psy+FoP/SP 4/13/15,Mandibuzz Sn+FoP/SB 15/15/15,Mandibuzz AS+FoP/SB 15/15/15,Mandibuzz AS+AA/FoP 15/15/15,Nidoqueen MSl+PF/SE 4/13/15,Nidoqueen PSt+PF/SE 4/13/15,Nidoqueen PSt+EP/PF 4/13/15,Nidoqueen PSt+EP/PF 4/13/15,Nidoqueen PJ+EP/SE 4/13/15,Pangoro KC+CC/NS 4/15/15,Pangoro KC+RS/NS 4/15/15,Primeape KC+RF/CC 12/15/14,Primeape (Shadow) KC+RF/IP 12/15/14,Primeape (Shadow) KC+RF/CC 12/15/14,Raikou VS+WC/AuS 5/13/13,Runerigus SC+RT/SB 12/12/15,Runerigus SC+RT/ST 12/12/15,Runerigus SC+SB/BrS 12/12/15,Scizor (Shadow) BP+NS/TBl 4/15/14,Skeledirge I+TSo/SB 6/15/13,Skeledirge I+SB/DV 6/15/13,Skeledirge I+TSo/DV 6/15/13,Talonflame I+Fl/BrB 15/15/15,Talonflame I+Fl/FmC 15/15/15,Togekiss Pk+Psh/AuS 5/13/15,Togekiss Pk+AP/AuS 5/13/15,Togekiss Pk+Ft/AuS 5/13/15,Togekiss Pk+DG/AuS 5/13/15,Wins,Losses,Draws,Average
Annihilape (Shadow) C+RF/CC 5/14/15,500,500,500,500,798,354,676,723,723,593,516,580,347,347,588,577,577,577,591,718,718,718,618,596,704,596,886,527,340,477,361,258,216,279,613,707,566,566,574,776,776,701,654,654,384,273,338,273,546,311,311,352,264,264,231,285,258,218,32,22,4,508.17
Annihilape (Shadow) C+RF/IP 5/14/15,500,500,500,500,776,354,676,505,505,577,516,546,347,347,402,538,538,538,574,475,475,475,484,454,613,454,756,527,340,355,366,330,297,346,613,707,566,566,574,784,784,486,654,654,384,273,338,273,505,311,311,352,264,264,318,359,338,218,24,30,4,472.1
Corviknight SdA+AC/Pbk 4/14/13,567,567,645,645,453,500,500,580,536,572,533,374,658,585,652,507,624,507,523,456,549,456,450,471,647,471,559,420,238,606,559,362,462,465,660,621,720,720,772,678,678,507,598,370,387,453,572,453,632,536,575,536,380,276,412,412,298,412,34,22,2,523.4
Drapion PSt+Cr/AT 4/15/15,453,436,494,276,358,419,419,500,555,303,351,460,347,535,375,509,509,509,440,440,440,440,581,492,333,340,347,401,310,683,447,601,519,495,375,679,549,549,562,369,529,401,539,482,437,591,679,696,614,702,722,702,503,617,429,429,412,412,24,33,1,484.41
Drapion PSt+Cr/SlB 4/15/15,453,436,494,276,265,463,463,444,500,237,272,374,301,565,358,369,369,369,252,244,244,244,584,545,342,357,364,477,310,578,663,627,607,562,364,542,370,370,532,349,542,374,539,319,324,571,679,696,614,656,676,656,503,617,522,522,647,611,25,32,1,458.67
Empoleon MSo+HC/DrlP 6/15/14,378,337,422,406,259,427,427,696,762,500,500,254,756,724,429,402,588,429,448,480,525,480,563,531,447,428,613,284,333,588,531,575,575,613,537,806,579,579,547,369,456,85,645,102,284,601,727,601,674,525,525,591,569,601,591,591,591,591,33,23,2,508.22
Empoleon (Shadow) MSo+HC/DrlP 6/15/14,422,406,483,483,293,466,474,648,727,500,500,288,734,702,448,480,525,480,762,810,952,873,537,674,503,674,721,333,409,531,369,446,481,531,491,781,509,509,450,101,601,102,680,136,347,518,677,518,683,458,458,512,553,604,534,534,534,534,32,24,2,525.67
Golurk (Shadow) MSl+ShP/DyP 4/13/13,602,602,909,909,873,290,290,710,587,199,237,629,113,85,533,632,372,372,518,777,512,656,242,512,638,512,737,786,918,311,133,223,211,316,572,771,644,644,602,629,629,656,602,602,789,388,496,388,186,855,855,855,294,294,302,527,285,268,35,23,0,518.6
Hippowdon SdA+WBR/ScS 4/15/13,397,397,597,411,616,347,347,625,641,570,551,736,460,457,500,706,489,584,500,690,323,548,372,442,592,589,592,861,834,500,327,432,516,581,733,788,687,687,687,346,459,380,496,496,785,616,695,535,489,641,641,706,567,679,476,476,476,476,32,23,3,554.26
Hippowdon TF+WBR/ScS 4/15/13,389,389,461,422,475,492,492,490,630,597,519,638,478,478,293,500,285,369,309,500,293,407,370,483,483,495,483,858,831,408,325,592,565,597,475,663,527,527,466,427,488,465,622,717,611,255,446,255,538,548,548,603,861,861,516,516,633,597,25,31,2,509.67
