,Annihilape C+RF/IP 5/14/15,Annihilape C+RF/CC 5/14/15,Annihilape (Shadow) C+RF/IP 5/14/15,Annihilape (Shadow) C+RF/CC 5/14/15,Cobalion DK+SSw/SE 6/15/11,Corviknight SdA+AC/Pbk 4/14/13,Corviknight SdA+IH/Pbk 4/14/13,Drapion PSt+Cr/AT 4/15/15,Drapion PSt+Cr/SlB 4/15/15,Empoleon MSo+HC/DrlP 6/15/14,Empoleon (Shadow) MSo+HC/DrlP 6/15/14,Forretress VS+RT/Eq 13/14/15,Golisopod FC+XS/AJ 5/13/15,Golisopod SC+XS/AJ 5/13/15,Hippowdon SdA+WBR/ScS 4/15/13,Hippowdon TF+WBR/ScS 4/15/13,Hippowdon IF+WBR/ScS 4/15/13,Hippowdon FF+WBR/ScS 4/15/13,Hippowdon (Shadow) SdA+WBR/ScS 4/15/13,Hippowdon (Shadow) TF+WBR/ScS 4/15/13,Hippowdon (Shadow) IF+WBR/ScS 4/15/13,Hippowdon (Shadow) FF+WBR/ScS 4/15/13,Lapras Psy+SpA/IB 4/15/15,Lickilicky RO+BS/SB 4/13/13,Lickilicky RO+BS/Eq 4/13/13,Lickilicky RO+SB/Eq 4/13/13,Lickilicky RO+BS/HB 4/13/13,Magnezone VS+WC/MrS 5/15/14,Magnezone (Shadow) VS+WC/MrS 5/15/14,Malamar Psy+FoP/SP 4/13/15,Malamar (Shadow) Psy+FoP/SP 4/13/15,Mandibuzz Sn+FoP/SB 15/15/15,Mandibuzz AS+FoP/SB 15/15/15,Mandibuzz AS+AA/FoP 15/15/15,Nidoqueen MSl+PF/SE 4/13/15,Nidoqueen PSt+PF/SE 4/13/15,Nidoqueen PSt+EP/PF 4/13/15,Nidoqueen PSt+EP/PF 4/13/15,Nidoqueen PJ+EP/SE 4/13/15,Pangoro KC+CC/NS 4/15/15,Pangoro KC+RS/NS 4/15/15,Primeape KC+RF/CC 12/15/14,Primeape (Shadow) KC+RF/IP 12/15/14,Primeape (Shadow) KC+RF/CC 12/15/14,Raikou VS+WC/AuS 5/13/13,Runerigus SC+RT/SB 12/12/15,Runerigus SC+RT/ST 12/12/15,Runerigus SC+SB/BrS 12/12/15,Scizor (Shadow) BP+NS/TBl 4/15/14,Skeledirge I+TSo/SB 6/15/13,Skeledirge I+SB/DV 6/15/13,Skeledirge I+TSo/DV 6/15/13,Talonflame I+Fl/BrB 15/15/15,Talonflame I+Fl/FmC 15/15/15,Togekiss Pk+Psh/AuS 5/13/15,Togekiss Pk+AP/AuS 5/13/15,Togekiss Pk+Ft/AuS 5/13/15,Togekiss Pk+DG/AuS 5/13/15,Wins,Losses,Draws,Average
Hippowdon IF+WBR/ScS 4/15/13,389,389,461,422,388,375,375,490,630,411,474,516,301,301,510,714,500,600,676,706,500,586,214,483,483,495,483,858,831,408,325,592,565,597,771,804,752,752,698,427,488,465,622,717,785,442,657,442,467,548,548,603,521,633,516,516,633,597,31,25,2,542.28
Hippowdon FF+WBR/ScS 4/15/13,389,389,461,422,616,492,492,490,630,570,519,758,372,372,415,630,399,500,451,592,413,500,292,483,483,495,483,858,831,408,325,434,516,581,673,771,543,543,654,427,488,465,622,717,785,348,559,348,853,548,548,603,467,586,516,516,399,399,27,29,2,524.81
Kyurem DB+G/DC 5/8/14,328,295,372,372,203,508,378,536,536,275,297,325,446,446,385,693,636,636,483,656,571,571,474,430,438,430,423,539,352,375,402,698,696,727,400,590,687,687,517,320,378,136,610,136,605,610,610,625,306,377,377,377,377,582,508,508,508,328,26,32,0,467.09
Lapras Psy+SpA/IB 4/15/15,584,370,515,381,438,549,582,418,415,436,462,340,439,439,627,629,785,707,584,599,766,670,500,414,414,573,414,356,340,419,247,569,601,653,599,599,673,673,616,312,323,515,731,149,327,692,692,638,525,675,675,718,707,707,315,315,315,315,32,25,1,517.95
Lickilicky RO+BS/SB 4/13/13,621,339,545,403,358,528,595,507,454,468,325,538,566,680,557,516,516,516,429,511,511,511,585,500,476,476,457,401,337,263,297,528,507,507,408,583,564,564,408,352,375,319,528,231,321,685,642,785,609,521,595,521,604,697,348,348,348,348,32,25,1,483.31
Lickilicky RO+BS/Eq 4/13/13,320,248,386,295,382,352,352,666,657,552,496,466,538,671,407,516,516,516,448,448,448,448,585,523,500,500,457,711,650,319,358,528,507,507,559,597,578,578,628,352,375,238,421,231,476,471,464,580,470,521,595,521,413,509,389,389,389,389,25,31,2,472.52
Malamar Psy+FoP/SP 4/13/15,666,666,644,522,608,393,393,316,421,411,468,605,106,329,500,591,591,591,672,675,675,675,580,736,680,719,680,566,563,500,500,265,286,286,688,661,691,691,636,433,611,627,755,580,394,647,719,647,401,583,583,597,508,625,422,422,422,302,37,18,3,543.52
Nidoqueen MSl+PF/SE 4/13/15,400,511,386,386,740,339,339,624,635,462,508,524,475,475,266,524,228,326,326,546,328,328,400,591,440,340,602,848,834,311,377,472,493,493,500,690,439,439,574,651,651,629,465,513,842,298,449,298,649,635,635,701,563,676,422,640,566,640,28,29,1,507.62
Pangoro KC+CC/NS 4/15/15,320,176,215,223,586,321,435,630,650,630,898,560,390,379,653,572,572,572,563,520,520,520,687,647,647,696,647,907,890,566,250,635,460,272,348,480,331,331,348,500,742,193,754,231,291,676,679,638,841,488,250,250,238,238,137,137,137,130,29,28,1,475.81
Raikou VS+AuS/WC 5/13/13,572,464,615,615,615,612,612,562,675,715,652,469,685,711,214,388,214,214,241,258,258,258,672,678,523,678,513,652,665,605,566,569,751,751,157,273,143,143,143,708,672,569,735,183,500,208,194,194,738,416,416,494,880,880,738,738,738,738,35,22,1,514.48
Runerigus SC+RT/SB 12/12/15,784,784,726,726,791,546,629,408,428,398,481,755,393,393,383,744,557,651,461,712,429,571,307,314,528,314,708,762,845,352,422,411,432,557,701,848,586,586,723,323,323,564,758,758,791,500,741,500,575,870,870,870,859,859,615,744,669,636,38,18,2,602.95
Runerigus SC+RT/ST 12/12/15,503,503,661,661,719,427,427,320,320,272,322,658,393,393,304,553,342,440,366,690,317,415,307,357,535,357,715,751,697,280,338,411,432,557,550,780,579,579,517,320,320,550,302,302,805,258,500,258,452,564,564,715,859,859,615,744,669,636,29,28,1,500.69
Talonflame I+Fl/FmC 15/15/15,711,711,735,735,438,723,720,382,382,398,395,821,586,556,320,138,366,413,380,108,108,380,292,302,490,490,302,196,234,375,430,451,508,547,323,140,592,592,323,761,121,729,738,693,119,140,140,363,764,580,580,705,428,500,426,372,550,526,23,34,1,453.93
Togekiss Pk+AuS/AP 5/13/15,483,536,640,714,610,587,352,570,477,408,465,398,748,681,523,483,483,483,353,334,334,563,684,651,610,651,610,363,446,577,677,597,533,536,359,220,220,220,193,862,671,654,654,788,261,255,255,287,459,447,447,540,461,627,506,500,530,500,29,27,2,501.31
Togekiss Pk+AuS/Psh 5/13/15,691,755,681,768,610,587,352,570,477,408,465,398,748,681,523,483,483,483,353,334,334,563,684,651,610,651,610,363,446,577,677,597,533,536,577,339,339,339,312,862,671,828,664,808,261,384,384,431,459,455,455,488,279,573,500,493,530,493,29,28,1,527.69
Togekiss Pk+AuS/Ft 5/13/15,671,728,661,741,610,701,453,587,352,408,465,859,748,681,523,366,366,600,353,334,334,563,684,651,610,651,610,363,446,577,677,597,533,536,433,295,295,295,267,862,671,808,654,788,261,330,330,395,553,316,316,383,250,449,469,469,500,469,29,28,1,515.47
Togekiss Pk+AuS/DG 5/13/15,808,808,781,781,610,587,352,587,388,408,465,398,748,681,523,402,402,600,353,334,334,563,684,651,610,651,610,363,446,697,738,610,654,697,359,220,220,220,193,869,677,828,654,788,261,363,363,428,459,338,338,405,273,473,506,500,530,500,29,27,2,518.78
Zapdos TS+DrlP/Tb 8/14/15,681,681,520,620,336,674,674,359,359,684,614,463,684,677,396,407,217,407,467,467,236,467,402,385,404,404,376,268,178,341,513,553,708,751,226,220,425,425,215,550,540,761,768,768,211,356,356,410,684,355,355,530,808,808,734,667,785,785,27,31,0,501.98
